name,instruction,muscle_group,equipment,secondary_muscle_group,exercise_id,image_url
Reverse Curl (Cable),,forearms,cable,"[""biceps""]",96e7ff45-8ac9-4728-9e49-d3ff2fbd1c32,
Reverse Biceps Curl (Dumbbell),,forearms,dumbbell,"[""biceps""]",d5762ab1-05b3-4660-8190-7482de7bb3f0,
Zottman Curl (Dumbbell),,biceps,dumbbell,"[""forearms""]",193edb1c-792a-4b69-882c-c01274bb665f,
Triceps Pushdown (Cable),,triceps,cable,[],9bead67c-42d0-4f20-8001-634eea2867d0,
Triceps Pushdown (Cable, Rope),,triceps,cable,[],29739823-e1e3-4ffe-a656-eef56edde142,
Triceps Pushdown (Cable, Reverse Grip),,triceps,cable,[],d70133e1-e6c5-47d4-872d-d833aa04f4a3,
Triceps Extension (Cable, Unilateral),,triceps,cable,[],61d558f3-f5cc-42b7-a782-92648589b4a4,
Overhead Triceps Extension (Cable),,triceps,cable,[],c3d82846-e19b-4f25-b19b-d65bce894951,
Overhead Triceps Extension (Dumbbell),,triceps,dumbbell,[],9b74b564-4864-4914-ad0c-9ec1f2bdf127,
Overhead Triceps Extension (Barbell, EZ),,triceps,barbell,[],94441563-0297-49bb-89a6-e8df806727b8,
Overhead Triceps Extension (Machine),,triceps,machine,[],cddb4368-20f8-4eba-99df-7779948a20bf,
Skull Crusher (Barbell),,triceps,barbell,[],9b82a0a4-e8f8-4cd8-a99a-22865518446f,
Skull Crusher (Barbell, EZ),,triceps,barbell,[],3da7d976-2e12-452a-9526-ae85fcaa8890,
Skull Crusher (Dumbbell),,triceps,dumbbell,[],7a3b6699-f2e1-46bb-8e05-3cd52b27f934,
Triceps Kickback (Dumbbell),,triceps,dumbbell,[],24bf1076-1858-4427-9b82-03cebbf1c43a,
Triceps Kickback (Cable),,triceps,cable,[],4654286f-463d-4001-b496-5a4005907e29,
Triceps Extension (Machine),,triceps,machine,[],4602c950-15d6-4787-b8a0-5eec512a5131,
Triceps Dips (Bodyweight),,triceps,bodyweight,[],ec031959-36ba-4589-9fab-3b71afe92e8e,
Triceps Dips (Assisted),,triceps,assisted,[],ff4eda98-ddae-4e47-80ec-934aa695b950,
Close-Grip Bench Press (Barbell),,triceps,barbell,"[""chest""]",b33ff637-f29d-4560-bf48-2302ec6d9b55,
Wrist Curl (Barbell),,forearms,barbell,[],fa60ff29-1e6c-418c-860b-378040479789,
Wrist Curl (Dumbbell),,forearms,dumbbell,[],fb4ceb8e-67a5-47ef-90e0-2924c7fcef6f,
Reverse Wrist Curl (Barbell),,forearms,barbell,[],d60d8d6e-364d-4552-98cd-3d8f244de58e,
Reverse Wrist Curl (Dumbbell),,forearms,dumbbell,[],8999586f-6df9-4097-8804-ec0eedb7f4c2,
Farmer Carry (Dumbbell),,forearms,dumbbell,"[""traps""]",7a7b90a4-1065-42f4-af3f-7fa6dec348de,
Farmer Carry (Barbell),,forearms,barbell,"[""traps""]",438dede7-f13d-4fc9-b70a-d2ff9501b107,
Squat (Barbell),,quads,barbell,"[""glutes"", ""adductors""]",1812f140-afda-4e45-a8f2-82b636d694f1,
Squat (Smith),,quads,smith,"[""glutes"", ""adductors""]",87e14e35-24ee-4e48-bc71-ee88ac596553,
Squat (Bodyweight),,quads,bodyweight,"[""glutes"", ""adductors""]",28f873b2-fde0-4b81-8002-56e71d3be1e1,
Front Squat (Barbell),,quads,barbell,"[""glutes"", ""adductors""]",9e70d840-d2ac-4e95-ba00-b113ff6b2680,
Goblet Squat (Dumbbell),,quads,dumbbell,"[""glutes"", ""adductors""]",cd003932-acf2-4210-a141-daa5db0b8449,
Hack Squat (Low Stance),,quads,plate-loaded,"[""glutes"", ""adductors""]",6d683323-9f59-4180-914f-478ed585727a,
Hack Squat (High Stance),,glutes,plate-loaded,"[""quads"", ""adductors""]",dd498b50-dcc8-45b8-a077-8e281e0ed214,
Leg Press (Plate-Loaded, Low Stance),,quads,plate-loaded,"[""glutes"", ""adductors""]",ecd7780b-c134-4f86-bb9f-5aa49c0f33ca,
Leg Press (Plate-Loaded, High Stance),,glutes,plate-loaded,"[""quads"", ""adductors""]",1d28181f-575f-4b54-9e04-8cf8d7fe49cc,
Leg Press (Machine, Low Stance),,quads,machine,"[""glutes"", ""adductors""]",daf40bc7-ed68-4779-819b-cb62f60eec1c,
Leg Press (Machine, High Stance),,glutes,machine,"[""quads"", ""adductors""]",f034257e-74f0-489a-84bb-cf943fc17d07,
Leg Extension (Machine),,quads,machine,[],4cbcf65c-b39c-4e60-a29b-edcdfb373264,
Leg Extension (Machine, Unilateral),,quads,machine,[],ca0e4e25-9570-4cb1-b999-23f358642abd,
Lunge (Bodyweight),,quads,bodyweight,"[""glutes"", ""adductors""]",c8eb6eeb-3548-4730-8314-4a32de7c6dda,
Lunge (Dumbbell),,quads,dumbbell,"[""glutes"", ""adductors""]",2606adb7-c578-4fcd-83c5-7bcf02e53aca,
Lunge (Barbell),,quads,barbell,"[""glutes"", ""adductors""]",858dcf51-a879-45cd-83a8-c909cd12a816,
Walking Lunge (Dumbbell),,quads,dumbbell,"[""glutes"", ""adductors""]",0456f443-a11b-4e1e-8b9f-25dfd486df5a,
Walking Lunge (Barbell),,quads,barbell,"[""glutes"", ""adductors""]",d5ea1529-bd03-4b5a-a819-3f03676930aa,
Reverse Lunge (Bodyweight),,quads,bodyweight,"[""glutes"", ""adductors""]",a8457245-5799-4c39-aada-8c4d1ab794be,
Reverse Lunge (Dumbbell),,quads,dumbbell,"[""glutes"", ""adductors""]",31376815-9293-4ea0-898e-11b0ba800acb,
Reverse Lunge (Barbell),,quads,barbell,"[""glutes"", ""adductors""]",c7c17d5a-7ba8-41d4-ae6c-564c0d007bea,
Bulgarian Split Squat (Dumbbell),,quads,dumbbell,"[""glutes"", ""adductors""]",cafd0ee7-b25f-4232-aad4-d631242ca79b,
Bulgarian Split Squat (Barbell),,quads,barbell,"[""glutes"", ""adductors""]",ce77153b-58e9-45a1-97e8-a91ced5e9b6f,
Bulgarian Split Squat (Smith),,quads,smith,"[""glutes"", ""adductors""]",54c03ce7-1fc6-4e7f-83ee-3ab209b96141,
Step-Up (Dumbbell),,quads,dumbbell,"[""glutes"", ""adductors""]",e72d9e5e-62e3-4cd8-b145-1ff3ebde4b42,
Step-Up (Barbell),,quads,barbell,"[""glutes"", ""adductors""]",ae779563-3203-4090-af38-e8045b0bfaff,
Sissy Squat (Bodyweight),,quads,bodyweight,[],194b1b82-335c-41d5-9a54-32dfeaeedec7,
Sissy Squat (Machine),,quads,machine,[],93349207-e428-46a2-a010-4df0bab3b96e,
Hip Thrust (Barbell),,glutes,barbell,"[""adductors"", ""hamstrings""]",67bbb5b2-6514-43f7-b07c-fdb25ae93f34,
Hip Thrust (Machine),,glutes,machine,"[""adductors"", ""hamstrings""]",d9b667ec-cf1e-43c6-9bce-49a07e4b92cb,
Hip Thrust (Plate-Loaded),,glutes,plate-loaded,"[""adductors"", ""hamstrings""]",95c75de1-8025-45e6-a80f-4f6b0cbb06f0,
Hip Thrust (Dumbbell),,glutes,dumbbell,"[""adductors"", ""hamstrings""]",67b42934-7db3-440c-b0ca-fadd639b372d,
Hip Thrust (Smith),,glutes,smith,"[""adductors"", ""hamstrings""]",304039f2-3ad0-4baf-8bf4-0175540f1c38,
Glute Bridge (Barbell),,glutes,barbell,"[""adductors"", ""hamstrings""]",389bae18-36fb-4f46-9561-6c2d6b3df43b,
Glute Bridge (Bodyweight),,glutes,bodyweight,"[""adductors"", ""hamstrings""]",ceb57a67-d602-4142-a6b4-3f965a414b0b,
Glute Bridge (Dumbbell),,glutes,dumbbell,"[""adductors"", ""hamstrings""]",db7817cb-ee46-401e-88f5-5ab23d0ae2f5,
Glute Bridge (Dumbbell, Unilateral),,glutes,dumbbell,"[""adductors"", ""hamstrings""]",f2275827-6d3e-409c-82b1-e558b471d6da,
Sumo Squat (Dumbbell),,glutes,dumbbell,"[""adductors"", ""quads""]",608cc9b4-6620-4eb0-a38e-48a3d1ec6990,
Kickback (Cable),,glutes,cable,[],65312699-5b47-414a-9509-5bc1da250e36,
Kickback (Machine),,glutes,machine,[],e15bb73d-a4d3-45c4-ac8b-64acae786403,
Hip Abduction (Machine),,glutes,machine,[],124c07ad-5b45-4850-aa86-2e3704d23642,
Hip Abduction (Cable),,glutes,cable,[],1c358f01-591d-4569-9125-898516dcf290,
Hip Abduction (Band),,glutes,band,[],5b5bc906-1dad-492a-80c0-3b07f49a3c74,
Seated Leg Curl (Machine),,hamstrings,machine,[],2603277e-5cb9-4ada-9f0b-539f4a590eea,
Lying Leg Curl (Machine),,hamstrings,machine,[],2c81deba-836a-4744-9499-13473f46aab4,
Leg Curl (Cable),,hamstrings,cable,[],d5b1a473-359d-47c9-aa86-da30a1cb0448,
Leg Curl (Cable, Unilateral),,hamstrings,cable,[],d4d50c65-3e44-45cf-b2b0-659df8c4151f,
Nordic Curl (Bodyweight),,hamstrings,bodyweight,[],a9cc3cb7-e238-4759-83f4-8a818960b830,
Glute-Ham Raise (Bodyweight),,hamstrings,bodyweight,"[""glutes"", ""erectors""]",cd701882-c5c0-42d9-88c1-4036b1b9e855,
Hip Adduction (Machine),,adductors,machine,[],6b2bc78a-66f0-4f7a-8484-c1febac2762b,
Hip Adduction (Cable),,adductors,cable,[],d39d8c7c-0138-4804-8c4a-440ac0b07dcf,
Calf Raise (Machine),,calves,machine,[],25299857-ee8d-4d08-b811-56c31a59219b,
Seated Calf Raise (Machine),,calves,machine,[],eace12b6-6d69-4b65-bd35-349436efa1a5,
Calf Raise (Plate-Loaded),,calves,plate-loaded,[],575b5629-07fd-45bf-9602-312522bac477,
Seated Calf Raise (Plate-Loaded),,calves,plate-loaded,[],2bdea2cc-99c0-4b9d-9c01-05c1c155df4c,
Calf Raise (Smith),,calves,smith,[],ddc1398a-448c-40bc-a32c-73961d9dd6b0,
Calf Raise (Dumbbell),,calves,dumbbell,[],590296e7-aeb7-458b-80e8-40370eae2239,
Calf Raise (Barbell),,calves,barbell,[],497aba0a-23c9-449f-8078-df8d60204140,
Calf Raise (Bodyweight),,calves,bodyweight,[],6a1119f6-2b41-4651-b793-204121a2f5d7,
Donkey Calf Raise (Machine),,calves,machine,[],3a0f8931-1cc2-451b-b70d-56c677cbc5ea,
Calf Press (Plate-Loaded),,calves,plate-loaded,[],32a4eec1-5940-405a-9049-79d413e52802,
Calf Press (Plate-Loaded, Unilateral),,calves,plate-loaded,[],af671dc6-3778-46ac-b23c-cd1ad5ee01a1,
Calf Press (Machine),,calves,machine,[],c34eced6-af58-430f-81eb-e412c6232eef,
Calf Raise (Machine),,calves,machine,[],8892509d-4411-43cf-9606-6a76a7cf42a9,
Calf Raise (Machine, Unilateral),,calves,machine,[],fcd2d10f-12b9-41b9-ba1c-67aeeeb4eba9,
Crunch (Bodyweight),,abs,bodyweight,[],251cba9f-8312-4670-a2b3-5365d78123c5,
Crunch (Cable),,abs,cable,[],632958b8-ff9c-4e99-b24a-dcff9be42e7a,
Crunch (Machine),,abs,machine,[],b7be8b64-e0ab-41b0-8707-d8915bf6fb60,
Decline Crunch (Bodyweight),,abs,bodyweight,[],57f2eb05-913f-4dd6-a434-c008f063a8af,
Sit-Up (Bodyweight),,abs,bodyweight,[],7a85fced-43a9-4fea-b115-f98ac0228c11,
Leg Raise (Bodyweight),,abs,bodyweight,[],bec683df-9afa-44b3-a5e1-00f826aace77,
Hanging Leg Raise (Bodyweight),,abs,bodyweight,[],dbb32d12-bbc4-4144-9ae9-8aab039b12f3,
